,author_country,Latitudes,Longitudes
0,United States,39.3812661305678,-97.9222112121185
1,Spain,41.2948556295683,-4.05568501525488
2,United States,39.3812661305678,-97.9222112121185
3,Trinidad & Tobago,10.687866,-61.615387
4,Jamaica,18.1512945138,-77.3192220134904
5,Haiti,19.1824357256899,-72.434514974505
6,Peru,-10.1510925136244,-75.3111319559783
7,Venezuela,7.61957014788959,-65.801997444749
8,Martinique,14.6525485200192,-61.0212870487474
9,Dominican Republic,18.6062576970524,-70.1067224933053
10,Trinidad & Tobago,10.687866,-61.615387
11,Dominica,18.6062576970524,-70.1067224933053
12,England,52.38145972,-0.676181762467007
13,Barbados,13.1787146900535,-59.5619546611369
14,,23.03139,113.13732
15,Wales,52.3287887217,-3.60824203189663
16,Cuba,21.9468717021679,-79.2366720528138
17,Guatemala,15.6055893260292,-90.3900017126126
18,St. Lucia,27.911547,-15.54052
19,Indiana,39.9184076479,-86.2846076064882
20,Germany,51.1334813439932,10.0183432948567
21,France,47.8249046208979,2.61878695312962
22,The Bahamas,25.07471,-77.3408
23,Italy,42.5041539170675,12.6463610364431
24,Guyana,5.62382279034036,-58.9747808781477
25,Australia,-25.7349684916223,134.489562606981
26,St. Kitts & Nevis,-23.48634645,-46.60998175
27,Canada,55.5859012851966,-105.750595856519
28,Ghana,6.88085426914622,-1.16759442759906
29,Chile,-26.783346,-69.761008
30,Britain,54.2379333607472,-2.36966957036279
31,Trinidad and Tobago,10.4686430117018,-61.2531757283896
32,Trinidad and Tobago,10.4686430117018,-61.2531757283896
33,Aruba,12.5156286858793,-69.9756409523066
34,French Guiana,4.35792079157208,-53.1743920884317
35,Guadeloupe,15.99454009,-61.72715035
36,Argentina,-36.252002,-63.954193
37,El Salvador,13.7368969076932,-88.8665114518297
38,Nigeria,9.59395988695573,8.10530640960786
39,Bonaire,12.18333,-68.23333
40,Belize,17.2168536428077,-88.686006535616
41,Cameroon,4.80651220617253,12.2137541551234
42,Portuguese,2.184526,102.2660985
43,Trinidad &Tobago,10.687866,-61.615387
44,Brazil,-9.58890301712257,-51.6197890205486
45,Cleveland,41.505161,-81.693445
46,New York,40.7306,-73.9866
47,Galt,38.254637,-121.299949
48,Colombia,3.06508799999999,-73.129056
49,Austrailia,37.7349,-122.502314
50,America,39.3812661305678,-97.9222112121185
51,Puerto Rico,18.2213294459009,-66.4623392630918
52,Mauritis,-20.16385665,57.5025125
53,Greece,38.5890212896367,23.8285537394706
54,Mexico,23.9504642310912,-102.532867448126
55,Antigua,17.11793422,-61.84387674
56,Antigua & Barbuda,36.7256776,-4.2405603
57,Bermuda,32.3179203152518,-64.7370103996652
58,Utah,39.2548171647,-111.602499934826
59,Ireland,53.3054943871234,-7.73764888796793
60,Grenada,12.1129258398845,-61.6793774505556
61,St.Lucia,50.9606792,7.2378742
62,India,22.1991660760527,78.476681027237
63,St Kitts & Nevis,-23.48634645,-46.60998175
64,Suriname,3.69296650830846,-55.9118262275729
65,Serbia,44.2267366369366,20.7952998132557
66,Bahamas,25.07471,-77.3408
67,Mauritius,-20.16385665,57.5025125
68,Demerara,6.75,-57.98333
69,South America,37.861066,-122.263273
70,Country of Northampton,40.685005,-75.4571
71,Scotland,56.734282295,-4.09589210432502
72,St Martin,30.125201,-91.83345
73,Gabon,-0.590945177481755,11.7972366735751
74,Jerusalem,31.77331512,35.18679028
75,Angola,-12.0993951347033,17.912292115939
76,Finland,62.7777539652943,26.199539005192
77,St. Vincent,48.8795,2.35751
78,Guinea,10.7855460398783,-11.0298621655307
79,Russia,61.9945734073292,96.6697054604756
80,New Zealand,-41.8388752215127,171.779900195937
81,Ukraine,49.3227937844972,31.3202829593814
82,Columbia,3.06508799999999,-73.129056
83,Honduras,14.7616644478253,-86.9216408872841
84,British Guiana,41.459957,2.224583
85,British Virgin Islands,18.42692843,-64.62317233
86,Virgin Islands,17.7355381596591,-64.7625859114436
87,Paris,48.85658,2.35183
88,Lebanon,33.9202654117664,35.888026075855
