city,country,pub_location,PlaceID
Auckland,New Zealand,"Auckland, New Zealand",auckland_new_zealand
Harlow,England,"Harlow, England",harlow_england
Ealing,England,"Ealing, England",ealing_england
Leuven,Belgium,"Leuven, Belgium",leuven_belgium
Plounéour-Ménez,France,"Plounéour-Ménez, France",plounéour_ménez_france
Montreal,Canada,"Montreal, Canada",montreal_canada
Cromer,England,"Cromer, England",cromer_england
Staten Island,United States,"Staten Island, United States",staten_island_united_states
Springfield,United States,"Springfield, United States",springfield_united_states
Lanham,United States,"Lanham, United States",lanham_united_states
St. Clair,Trinidad & Tobago,"St. Clair, Trinidad & Tobago",st._clair_trinidad_&_tobago
Leicester,England,"Leicester, England",leicester_england
Montréal,Canada,"Montréal, Canada",montréal_canada
Kourou,French Guiana,"Kourou, French Guiana",kourou_french_guiana
Montevideo,Uraguay,"Montevideo, Uruguay",montevideo_uruguay
Bogota,Colombia,"Bogota, Colombia",bogota_colombia
NA,Spain,"NA, Spain",na_spain
São Paulo,Brazil,"São Paulo, Brazil",são_paulo_brazil
Esplugues de Llobregat,Spain,"Esplugues de Llobregat, Spain",esplugues_de_llobregat_spain
Zurich,Switzerland,"Zurich, Switzerland",zurich_switzerland
Brussels,England,"Brussels, England",brussels_england
Georgetown,Guyana,"Georgetown, Guyana",georgetown_guyana
Jannali,Australia,"Jannali, Australia",jannali_australia
Lafayette,United States,"Lafayette, United States",lafayette_united_states
Spanish Town,Jamaica,"Spanish Town, Jamaica",spanish_town_jamaica
Manchester,England,"Manchester, England",manchester_england
Missoula,United States,"Missoula, United States",missoula_united_states
Copenhagen,Denmark,"Copenhagen, Denmark",copenhagen_denmark
Bukarest,Romania,"Bukarest, Romania",bukarest_romania
"Springfield, MA",United States,"Springfield, MA, United States",springfield_ma_united_states
"San Francisco, CA",United States,"San Francisco, CA, United States",san_francisco_ca_united_states
Palermo,Italy,"Palermo, Italy",palermo_italy
Poitiers,France,"Poitiers, France",poitiers_france
Tres Cantos,Spain,"Tres Cantos, Spain",tres_cantos_spain
Lutz,United States,"Lutz, United States",lutz_united_states
Tafalla,Spain,"Tafalla, Spain",tafalla_spain
