Phyllis Shand Allfrey,psallfrey,dominica,,,,,,,,
Title,Pubdate,Language,Publisher,Pub_city,Pub_country,Pub_id,Genre,Translation,Length,Descriptor
The Orchid House,1985,English,Three Continents,Washington,United States,united states,Fiction (Novel),n,234,
The Orchid House,1982,English,Virago Press,London,United Kingdom,united_kingdom,Fiction (Novel),n,234,
Dum Mezi Orchidejemi,1986,Czech,Svoboda,Praha,Czech Republic,,Fiction (Novel),y,179,
It Falls Into Place,2012,English,Papillote Press,Trafalgar,Dominica,dominica,Fiction (Novel),n,144,
Love For An Island: The Collected Poems Of Phyllis Shand Allfrey,2014,English,Papillote Press,Trafalgar,Dominica,dominica,Fiction (Novel),n,104,
The Orchid House,1953,English,Virago Press,London,England,england,Fiction (Novel),n,234,
