Robert Antoni,rantoni,united_states,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,Pub_city,Pub_country,Pub_id,Genre,Translation,Length,Descriptor
rantoni,Divina Trace,1992,English,The Overlook Press,"Woodstock, NY",United States,woodstock_ny_united_states,Fiction (Novel),n,436,
rantoni,Divina Trace,1993,English,The Overlook Press,"Woodstock, NY",United States,woodstock_ny_united_states,Fiction (Novel),n,418,
rantoni,As Flies to Whatless Boys,2013,English,Akashic Books,"Brooklyn, NY",United States,brooklyn_ny_united_states,Fiction (Novel),n,340,
rantoni,Los Cuentos Eróticos de Mi Abuela,2002,Spanish,Editorial Anagrama,Barcelona,Spain,barcelona,Fiction (Novel),y,244,
rantoni,Trinidad Noir,2008,English,Akashic Books,"Brooklyn, NY",United States,brooklyn_ny_united_states,Anthology,n,300,
