Date,Author,Item Title,Periodical Title,Language,Language 2,Location,Author Country 2,Publisher,Publisher City,Publisher Country,Genre,Number of Pages,Original Publication Date
1989,"Brown, Stewart; Morris, Mervyn; Rohlehr, Gordon",Voiceprint: An Anthology Of Oral And Related Poetry From The Caribbean,,English,,England,Jamaica,"Longman Inc,",Harlow,England,Poetry Collection,,1989
2001,"Brown, Stewart; Wickham, John",The Oxford Nook Of Caribbean Short Stories,,English,,United Kingdom,United Kingdom,Oxford University Press,Oxford,England,Fiction (Short Story Collection),,2001
2016,"Browne-Bannister, Tammi; Edward, Summer; Subran, Portia; O'brien, Brandon; Hosein, Kevin Jared; Lynch, Richard B; Jones, Elizabeth J; Wilson, Damion; Franklin, Brian; Aiyejina, Ararimeh; Williams, H. K.","New Worlds, Old Ways: Speculative Tales From The Caribbean",,English,,Barbados,,Peekash Press,St. Clair,Trinidad & Tobago,Fiction (Novel),,2016
2010,"Browne, Cecil",The Moon Is Following Me: A Collection Of Short Stories,,English,,Canada,,Matador,Leicester,England,Fiction (Short Story Collection),,2010
2019,"Browning, Callie",The Girl With The Hazel Eyes,,English,,Barbados,,Callie Browning,Middletown,United States,Fiction (Novel),,2019
1967,"Brull, Mariano; Florit, Eugenio; Ballagas, Emilio; Guillen, Nicolas; Lezama Lima, José ; Vitier, Cintio; Baquero, Gston; Diego, Eliseo; Labra, Carilda Oliver; Rossardi, Orlando",Poesia Cubana Contemporanea Un Ensayo De Antologia,,Spanish,,Cuba,Spain,Las Américas Publishing,Montréal,Canada,Poetry Collection,,1967
1997,"Bulin, Gérard",Le Fils Du Filaos: Roman,,French,,,,Ibis Rouge,Kourou,French Guiana,Fiction (Novel),,1997
1970,"Bumedien, Huari; Ture, Ahmed Seku; Lopez, Henri; Depestre, René;Benedetti, Mario; Cleaver, Eldriged; Cardoso, Onelio Jorge; De Moraes, Vinicio; Urondo, Francisco; Carrion, Vicente; Tunon, Raul Gonzalez; Morales, Eduardo Lopez; Vallejo, Manuel Mejia; Lauer, Mirko; Acosta, Leonardo; Castro, Nils; Collazos, Oscar; Enrique Lopez, Oliva; Morales, Arqueles; Unsain, Munoz; Rodriguez, Carlos Rafael; Ibarra, Jorge; Barrios, Jaime; llanos, Marcos; Franco, Jose Luciano; Vazquez, Adolfo Sanchez; Retamar, Roberto Fernandez; Dalton, Roque; Hart, Armando; Arguedas, Jose Maria; Del Toro, Carlos; Segre, Roberto; Aguirre, Manuel Agustin; Santos, Oscar Pino","Revista Casa De Las Americas,Enero-Febrero De 1970. Numero 58. Del Primer Festival Panafricano De Cultura. Marzo-Abril De 1970. Numero 59 Lenin, Mayo-Junio De 1970, Numero 60,Tres Numeros Encuadernados",,Spanish,,Algeria,French Guinea,Casa de las Américas,Havana,Cuba,,350,1970
1969,"Burland, Brian",A Few Flowers For St. George,,English,,Bermuda,,"Barrie and Rockliff, the Cresset P.",London,England,,,1969
1968,"Burland, Brian",A Fall From Aloft,,English,,Bermuda,,Barrie & Rockliff,London,England,,,1968
1964,"Burland, Brian; Low, Joseph",St. Nicholas And The Tub,,English,,Bermuda,Pennsylvania,Holiday House,New York,United States,,,1964
2016,"Burton, Jessie",The Muse,,English,,United Kingdom,,HarperCollins,New York,United States,,,2016
2020,"Busby, Margaret",New Daughters Of Africa,,English,,Ghana,,Myriad Editions,Oxford,England,Anthology,,2020
1970,"Bustamante, Cecilia",El Nombre De Las Cosas Poesía,,Spanish,,,,Editorial Alfa,Montevideo,Uruguay,,,1970
1903,"Byrne, Bonifacio",Poemas,,Spanish,,Cuba,,Rambla y Bouzá,Havana,Cuba,,,1903
1985,"Cabrera Infante, Guillermo",La Havane Pour Un Infante Defunt,,French,,Cuba,,Éditions du Seuil,Paris,France,Fiction (Novel),,1985
1990,"Cabrera Infante, Guillermo",View Of Dawn In The Tropics,,English,,Cuba,,Faber and Faber,London,England,Fiction (Novel),,1990
1985,"Cabrera Infante, Guillermo",Infante's Inferno,,English,,Cuba,,Avon,New York,United States,Fiction (Novel),,1985
1988,"Cabrera Infante, Guillermo",View of Dawn In The Tropics,,English,,Cuba,,Harper & Brothers,New York,United States,Fiction (Novel),,1988
1981,"Cabrera Infante, Guillermo",View of Dawn In The Tropics,,English,,Cuba,,Creative Arts Books Co.,Berkeley,United States,Fiction (Novel),,1981
1990,"Cabrera Infante, Guillermo",Infante's Inferno,,English,,Cuba,,Faber and Faber,London,England,Fiction (Novel),,1990
1989,"Cabrera Infante, Guillermo",Así En La Paz Como En La Guerra,,Spanish,,Cuba,,Diana Literaria,Mexico City,Mexico,Fiction (Short Story Collection),,1989
1988,"Cabrera Infante, Guillermo",Así En La Paz Como En La Guerra,,Spanish,,Cuba,,Diana Literaria,Mexico City,Mexico,Fiction (Short Story Collection),,1988
1982,"Cabrera Infante, Guillermo",Exorcismos De Esti(l)o,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Short Story Collection),,1982
1987,"Cabrera Infante, Guillermo",Arcadia Todas Las Noches,,Spanish,,Cuba,,Editorial Retina,Bogota,Colombia,Fiction (Novel),,1987
1980,"Cabrera Infante, Guillermo",Arcadia Todas Las Noches,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Novel),,1980
1985,"Cabrera Infante, Guillermo",Puro Humo,,Spanish,,Cuba,,publisher not identified,,Spain,Fiction (Novel),,1985
1990,"Cabrera Infante, Guillermo",La Próxima Luna: Historias De Horror,,Spanish,,Cuba,,Tanagra,Barcelona,Spain,Fiction (Short Story Collection),,1990
1985,"Cabrera Infante, Guillermo",Three Trapped Tigers,,English,,Cuba,,Avon,New York,United States,Fiction (Novel),,1985
1984,"Cabrera Infante, Guillermo",Infante's Inferno,,English,,Cuba,,Harper & Brothers,New York,United States,Fiction (Novel),,1984
1986,"Cabrera Infante, Guillermo",Holy Smoke,,English,,Cuba,,Faber and Faber,London,England,Fiction (Novel),,1986
1985,"Cabrera Infante, Guillermo",Holy Smoke,,English,,Cuba,,Harper & Brothers,New York,United States,Fiction (Novel),,1985
1988,"Cabrera Infante, Guillermo",Vista Do Amanhecer No Trópico,,Portugese,,Cuba,,Companhia das Letras,São Paulo,Brazil,Fiction (Novel),,1988
1981,"Cabrera Infante, Guillermo",Tres Tristes Tigres,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Novel),,1981
1980,"Cabrera Infante, Guillermo",Arcadia Todas Las Noches,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Novel),,1980
1990,"Cabrera Infante, Guillermo",Así En La Paz Como En La Guerra,,Spanish,,Cuba,,Oveja Negra,Bogota,Colombia,Fiction (Short Story Collection),,1990
1987,"Cabrera Infante, Guillermo",Así En La Paz Como En La Guerra,,Spanish,,Cuba,,La Oveja Negra,Bogota,Colombia,Fiction (Short Story Collection),,1987
1986,"Cabrera Infante, Guillermo",Así En La Paz Como En La Guerra,,Spanish,,Cuba,,La Montaña Mágica,Barcelona,Spain,Fiction (Short Story Collection),,1986
1987,"Cabrera Infante, Guillermo",Exorcismos De Esti(l)o,,Spanish,,Cuba,,La Oveja Negra,Bogota,Colombia,Fiction (Short Story Collection),,1987
1986,"Cabrera Infante, Guillermo",Exorcismos De Esti(l)o,,Spanish,,Cuba,,La Oveja Negra,Bogota,Colombia,Fiction (Short Story Collection),,1986
1981,"Cabrera Infante, Guillermo",La Habana Para Un Infante Difunto,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Novel),,1981
1989,"Cabrera Infante, Guillermo",La Habana Para Un Infante Difunto,,Spanish,,Cuba,,Plaza & Janés,Barcelona,Spain,Fiction (Novel),,1989
1987,"Cabrera Infante, Guillermo",Un Oficio Del Siglo 20: G. Cain 1954-1960,,Spanish,,Cuba,,Editorial La Oveja Negra,Bogota,Colombia,Autobiography/Memoir,,1987
1982,"Cabrera Infante, Guillermo",Un Oficio Del Siglo 20,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Autobiography/Memoir,,1982
1987,"Cabrera Infante, Guillermo",Vista Del Amanecer En El Trópico,,Spanish,,Cuba,,Arnoldo Mondadori Editore,Madrid,Spain,Fiction (Novel),,1987
1984,"Cabrera Infante, Guillermo",Vista Del Amanecer En El Trópico,,Spanish,,Cuba,,Plaza & Janés,Esplugues de Llobregat,Spain,Fiction (Novel),,1984
1990,"Cabrera Infante, Guillermo",Tres Tristes Tigres,,Spanish,,Cuba,,Biblioteca Ayacucho,Caracas,Venezuala,Fiction (Novel),,1990
1987,"Cabrera Infante, Guillermo",Fragmento: Tres Tristes Tigres,,Spanish,,Cuba,,Diputación Provincial,Málaga,Spain,Fiction (Novel),,1987
1980,"Cabrera Infante, Guillermo",LaHabana Para Un Infante Difunto,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Novel),,1980
1985,"Cabrera Infante, Guillermo",La Havane Pour Un Infante Défunt: Roman,,French,,Cuba,,Éditions du Seuil,Paris,France,Fiction (Novel),,1985
1980,"Cabrera Infante, Guillermo",Orbis Oscillantis,,French,,Cuba,,Flammarion,Paris,France,Fiction (Novel),,1980
1989,"Cabrera Infante, Guillermo",Trois Tristes Tigres,,French,,Cuba,,Gallimard,Paris,France,Fiction (Novel),,1989
1990,"Cabrera Infante, Guillermo",Rauchzeichen,,German,,Cuba,,Insel Verlag,Frankfurt,Germany,Fiction (Novel),,1990
1990,"Cabrera Infante, Guillermo",Drei Traurige Tiger Roman,,German,,Cuba,,Suhrkamp Verlag,Frankfurt,Germany,Fiction (Novel),,1990
1987,"Cabrera Infante, Guillermo",Rauchzeichen,,German,,Cuba,,Insel Verlag,Frankfurt,Germany,Fiction (Novel),,1987
1983,"Cabrera Infante, Guillermo",Naki Ouji No Tameno Habaana,,Japanese,,Cuba,,Shueisha,Tokyo,Japan,Fiction (Novel),,1983
1992,"Cabrera Infante, Guillermo",Orbis Oscillantis: Traduit De L'Espagnol,,French,,Cuba,,Flammarion,Paris,France,Fiction (Novel),240,1992
2021,"Cabrera Infante, Guillermo",La Nymphe Inconstante,,French,,Cuba,,Arthaud,Paris,France,Fiction (Novel),255,2021
1980,"Cabrera Infante, Guillermo",Three Trapped Tigers,,English,,United States,,Pan Books,London,England,Fiction (Novel),,1980
2017,"Cabrera Infante, Guillermo",La Habana Para Un Infante Difunto,,Spanish,,Cuba,,Audible Studios,Newark,United States,,,2017
2017,"Cabrera Infante, Guillermo",Tres Tristes Tigres ,,Spanish,,Cuba,,Audible Studios,Newark,United States,,,
1990,"Cabrera Infante, Guillermo; Romaguera i Ramio, Joaquim",Diablesas Y Diosas:14 perversas para 14 autores,,Spanish,,Cuba,,Ed. Laertes,Barcelona,Spain,Nonfiction Book,,1990
1980,"Cabrera Infante, Guillermo; Vargas Llosa, Mario; Institute of Contemporary Arts (London, England)",G. Cabrera Infante With Mario Vargas Llosa,,English,,Cuba,,ICA,London,England,,,1980
1999,"Cabrera, Guillermo",Havane Pour Un Infante D'Funt(la),,French,,Cuba,,Contemporary French Fiction,Paris,France,Fiction (Novel),,1999
1974,"Caliban, Roberto Fernandez Retamar",Caliban: Apuntes Sobre La Cultura En Nuestra America,,Spanish,,Cuba,,Editorial Diagenes,Zurich,Switzerland,Nonfiction Book,108,1974
1991,"Callender, Timothy",It So Happen,,English,,Barbados,,Heinemann,London,England,Fiction (Novel),,1991
1987,"Camacho, Jorge; Arenas, Reinaldo; Epsilon Gallery (Brussels)",Camacho,,Spanish,French,,,Epsilon Gallery,Brussels,England,,,1987
1931,"Cameron, Norman Eustace",Guianese Poetry: Covering The Hundred Years' Period 1831-1931,,English,,Guyana,,Argosy Publishing Inc.,Georgetown,Guyana,Poetry Collection,,1931
2009,"Caminero-Santangelo, Marta; Boland, Roy","Trujillo, Trauma, Testimony: Mario Vargas Llosa, Julia Alvarez, Edwidge Danticat, Junot Dí az And Other Writers On Hispaniola",,Spanish,English,Australia,Australia,Antipodas,Jannali,Australia,,,2009
2015,"Campbell-Hewitt, Laurie","Mère Et Fils, Homme Et Femme Dans La Littèrature Antillaise",,French,,United States,,University of Louisiana at Lafayette,Lafayette,United States,,,2015
2008,"Campbell, Al; Barclay, Alexander",Old Jamaica: Memories,,English,,United States,,SunZone Books,Spanish Town,Jamaica,Nonfiction Book,115,2008
1981,"Campbell, George; Walcott, Derek",First Poems,,English,Spanish,St. Lucia,,Garland,New York,United States,Poetry Collection,,1981
2003,"Canetti, Yanitzia",Un Fabuloso Viaje Al Caribe,,Spanish,,Cuba,,Houghton MIfflin,Boston,United States,Fiction (Novel),,2003
2017,"Capildeo, Vahni",Measures Of Expatriation,Bocas Lit Fest,English,,Trinidad & Tobago,,Carcanet,Manchester,England,Poetry Collection,,2017
1961,"Carbet, Marie-Magdeleine","Écoute, Soleil-Dieu",,French,,Martinique,,Éditions Francex,Paris,France,Poetry Collection,64,1961
1963,"Carbet, Marie-Magdeleine",Viens Voir Ma Ville,,French,,Martinique,,Impr. la Productrice,Paris,France,Poetry Collection,,1963
1970,"Carbet, Marie-Magdeleine",Rose De Ta Gréce,,French,,Martinique,,Le Cerf-volant,Paris,France,Poetry Collection,,1970
1987,"Carco, Francis; Rhys, Jean",Perversity,,English,,Dominica,,Creative Arts,Missoula,United States,Fiction (Novel),,1987
2021,"Card, Maisy",These Ghosts Are Family,,English,,Jamaica,,Simon & Schuster,Manhattan,United States,Fiction (Novel),,2021
1989,"Carnegie, James; Patterson, Patricia",Masks,,English,,Britain,Wisconsin,Longman Inc.,Harlow,England,,,1989
1989,"Carnegie, James; Patterson, Patricia",The People Who Came,,English,,Britain,Wisconsin,Longman Inc.,Kingston,Jamaica,,,1989
1977,"Carpenter, Alejo",Le Recours De La Méthode,,French,,Chile,Cuba,Gyldendal,Copenhagen,Denmark,,,1977
1979,"Carpenter, Alejo; Jánosházy, György; Dankó, Éva",A Fény Százada : Regény,,Hungarian,,Cuba,,Kriterion,Bukarest,Romania,Fiction (Novel),,1979
1957,Carpentier Alejo,The Kingdom Of This World,,English,,Cuba,,Alfred A. Knopf,New York City,United States,Fiction (Novel),,1957
1956,"Carpentier, Alejo",The Lost Steps,,English,,Cuba,,Alfred A. Knopf,New York City,United States,Fiction (Novel),278,1956
2006,"Carpentier, Alejo",The Kingdom Of This World,,English,,Cuba,,"Farrar, Straus and Giroux",New York,United States,Fiction (Novel),180,2006
2017,"Carpentier, Alejo",The Kingdom Of This World,,English,,Cuba,,"Farrar, Straus and Giroux",New York,United States,Fiction (Novel),,2017
1989,"Carpentier, Alejo",The Kingdom Of This World,,English,,Cuba,,"Farrar, Straus and Giroux",New York,United States,Fiction (Novel),,1989
2001,"Carpentier, Alejo",Music In Cuba,,English,,Cuba,,University Of Minnesota Press,Minneapolis,United States,Nonfiction Book,312,2001
1989,"Carpentier, Alejo",The Chase,,English,,Cuba,,"Farrar, Straus and Giroux",New York,United States,Fiction (Novel),122,1989
2017,"Carpentier, Alejo",The Kingdom Of This World,,English,,Cuba,,"Farrar, Straus and Giroux",New York,United States,Fiction (Novel),160,2017
1970,"Carpentier, Alejo",The Kingdom Of This World,,English,,Cuba,,Collier Books,Springfield,United States,Fiction (Novel),,1970
1976,"Carpentier, Alejo",Reasons Of State,,English,,Cuba,,Alfred A. Knopf,New York,United States,Fiction (Novel),308,1976
1990,"Carpentier, Alejo",The Harp And The Shadow: The Beatification Of Christopher Columbus,,English,,Cuba,,Mercury House,San Francisco,United States,Fiction (Novel),159,1990
1992,"Carpentier, Alejo",The Harp And The Shadow: The Beatification Of Christopher Columbus,,English,,Cuba,,Mercury House,San Francisco,United States,Fiction (Novel),176,1992
1970,"Carpentier, Alejo",War Of Time,,English,,Cuba,,Alfred A. Knopf,London,England,Fiction (Novel),191,1970
1991,"Carpentier, Alejo",Baroque Concerto,,English,,Cuba,,Deutsch,London,England,Fiction (Novella),121,1991
1995,"Carpentier, Alejo",Concierto Barroco,,English,,Cuba,,Council Oak Books,Tulsa,United States,Fiction (Novella),135,1995
2015,"Carpentier, Alejo",Chasse À L'Homme,,French,,Cuba,,Gallimard,Paris,France,Fiction (Novel),154,2015
1958,"Carpentier, Alejo",Chasse À L'Homme,,French,,Cuba,,Gallimard,Paris,France,Fiction (Novel),208,1958
1993,"Carpentier, Alejo",Chasse À L'Homme,,French,,Cuba,,Gallimard,Paris,France,Fiction (Novel),,1993
2020,"Carpentier, Alejo",L'Arpa E L'Ombra,,Italian,,Cuba,,Sellerio Editore,Palermo,Italy,Fiction (Novel),173,2020
2009,"Carpentier, Alejo",El Reino De Este Mundo,,Spanish,,Cuba,,Rayo,New York,United States,Fiction (Novel),,2009
2018,"Carpentier, Alejo",!Écue-Yamba-Ó! : Edición Crítica,,Spanish,,Cuba,,Coleccíon Archivos,Poitiers,France,Fiction (Novella),,2018
2018,"Carpentier, Alejo",Crónicas Habaneras,,Spanish,,Cuba,,Centre de Recherches Latino-Américaines,Havana,Cuba,Nonfiction Book,189,2018
2018,"Carpentier, Alejo",Guerra Del Tiempo Y Otros Relatos,,Spanish,,Cuba,,Difusora Larousse - Alianza Editorial,Madrid,Spain,Short Story,,2018
2002,"Carpentier, Alejo",Ensayos Selectos Fe Alejo Carpentier,,Spanish,,Cuba,,Corregidor,Buenos Aires,Argentina,,304,2002
2001,"Carpentier, Alejo",Guerra Del Tiempo,,Spanish,,Cuba,,Lectorum S A De C V,Mexico City,Mexico,Short Story,214,2001
2019,"Carpentier, Alejo",Visión De América,,Spanish,,Cuba,,Editorial Verbum,Madrid,Spain,Nonfiction Book,168,2019
2010,"Carpentier, Alejo",¡Écue-Yamba-Ó!,,Spanish,,Cuba,,Ediciones Akal,Tres Cantos,Spain,Fiction (Novella),384,2010
2004,"Carpentier, Alejo",El Acoso,,Spanish,,Cuba,,Alianza Editorial,Madrid,Spain,Fiction (Novella),144,2004
1982,"Carpentier, Alejo",La Ciudad De Las Columnas,,Spanish,,Cuba,,Bruguera,Barcelona,Spain,Nonfiction Book,,1982
1979,"Carpentier, Alejo","Bajo El Signo De La Cibeles: Crónicas Sobre España Y Los Españoles, 1925-1937",,Spanish,,Cuba,,Editorial Nuestra Cultura,Madrid,Spain,Nonfiction Book,176,1979
1981,"Carpentier, Alejo",La Novela Latinoamericana En Vísperas De Un Nuevo Siglo Y Otros Ensayos,,Spanish,,Cuba,,Siglo Veintiuno Editores,Mexico City,Mexico,,253,1981
1980,"Carpentier, Alejo",Cuentos Completos,,Spanish,,Cuba,,Bruguera,Barcelona,Spain,Fiction (Short Story Collection),218,1980
1984,"Carpentier, Alejo",Palabras En El Tiempo De Alejo Carpentier,,Spanish,,Cuba,,Argos Vergara,Barcelona,Spain,,251,1984
1984,"Carpentier, Alejo","Obras Completas De Alejo Carpenter Volumen 3: Guerra Del Tiempo, El Acoso Y Otro Relatos",,Spanish,,Cuba,,Siglo Veintiuno Editores,Mexico City,Mexico,Fiction (Short Story Collection),237,1984
1986,"Carpentier, Alejo",La Consagración De La Primavera: Novela,,Spanish,,Cuba,,Siglo Veintiuno Editores,Mexico City,Mexico,Fiction (Novella),576,1986
1987,"Carpentier, Alejo","Tientos, Diferencias Y Otros Ensayos",,Spanish,,Cuba,,Plaza & Janés,Esplugues de Llobregat,Spain,Nonfiction Book,281,1987
1946,"Carpentier, Alejo",La Musica En Cuba,,Spanish,,Cuba,,Fondo de Cultura Economica.,Mexico City,Mexico,Nonfiction Book,282,1946
1974,"Carpentier, Alejo",El Recurso Del Método,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Fiction (Novella),343,1974
1971,"Carpentier, Alejo",Los Pasos Perdidos: Novela,,Spanish,,Cuba,,Compañia General de Ediciones,Barcelona,Spain,Fiction (Novella),,1971
1980,"Carpentier, Alejo",El Siglo De Las Luces,,Spanish,,Cuba,,Bruguera,Barcelona,Spain,Fiction (Novella),,1980
2013,"Carpentier, Alejo","El Cine, Decima Musa",,Spanish,,Cuba,,LD Books,Chandrasekharpur,India,,400,2013
2020,"Carpentier, Alejo",El Siglo De Las Luces,,Spanish,,Cuba,,Seix Barral,Barcelona,Spain,Fiction (Novella),364,2020
2020,"Carpentier, Alejo",Los Pasos Perdidos,,Spanish,,Cuba,,Vintage Español,New York City,United States,Fiction (Novella),368,2020
2020,"Carpentier, Alejo",Los Pasos Perdidos,,Spanish,,Cuba,,Vintage Books,New York City,United States,Fiction (Novella),288,2020
2021,"Carpentier, Alejo",Recuento De Moradas,,Spanish,,Cuba,,Editorial Cõ,Lutz,United States,Nonfiction Book,189,2021
1975,"Carpentier, Alejo",Concierto Barroco,,Spanish,,Cuba,,Havana: Editorial Arte y Literatura,Havana,Cuba,Fiction (Novella),,1975
2004,"Carpentier, Alejo",El Arpa Y La Sombra,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Fiction (Novella),227,2004
2021,"Carpentier, Alejo",El Arpa Y La Sombra,,Spanish,,Cuba,,Alianza Editorial,Madrid,Spain,Fiction (Novella),137,2021
2015,"Carpentier, Alejo",La Consagración De La Primavera,,Spanish,,Cuba,,Alianza Editorial,Madrid,Spain,Fiction (Novella),736,2015
2021,"Carpentier, Alejo",La Consagración De La Primavera,,Spanish,,Cuba,,Alianza Editorial,Madrid,Spain,Fiction (Novella),563,2021
2005,"Carpentier, Alejo",El Recurso Del Método,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Fiction (Novella),343,2005
2014,"Carpentier, Alejo",Los Pasos Perdidos,,Spanish,,Cuba,,"Lectorum, SA de CV",Mexico City,Mexico,Fiction (Novella),250,2014
2021,"Carpentier, Alejo",Los Pasos Perdidos,,Spanish,,Cuba,,Alianza Editorial,Madrid,Spain,Fiction (Novella),306,2021
1989,"Carpentier, Alejo",Die Methode Der Macht: Roman,,Spanish,,Cuba,,Suhrkamp Verlag,Frankfurt,Germany,Fiction (Novella),389,1989
2004,"carpentier, Alejo",Materiales De La Revista Casa De Las Americas,,Spanish,,Cuba,,Casa de las Américas,Havana,Cuba,Nonfiction Book,166,2004
2003,"Carpentier, Alejo",Viaje A La Semilla,,Spanish,,Cuba,,Editorial Txalaparta,Tafalla,Spain,Fiction (Novella),60,2003
1963,"Carpentier, Alejo",Explosion In A Cathedral,,Spanish,,Cuba,,"Little, Brown",New York City,United States,Fiction (Novella),352,1963
1985,"Carpentier, Alejo",Entrevistas,,Spanish,,Cuba,,Letras Cubanas,Havana,Cuba,,548,1985
1982,"Carpentier, Alejo",Los Pasos Perdidos Alejo Carpentier,,Spanish,,Cuba,,Bruguera,Barcelona,Spain,Fiction (Novella),282,1982
1972,"Carpentier, Alejo",El Reino De Este Mundo,,Spanish,,Cuba,,Arca Publishers,Oxford,New Zealand,Fiction (Novella),,1972
2013,"Carpentier, Alejo",Reasons Of State,,English,,Cuba,,Melville House,Brooklyn,United States,Fiction (Novella),400,2013
2018,"Carpentier, Alejo",La Danse Sacrale,,French,,Cuba,,Gallimard,Paris,France,Fiction (Novella),,2018
2020,"Carpentier, Alejo",El Recurso Del Método: Edición Especial. Prólogo De Ambrosio Fornet,,Spanish,,Cuba,,,,,Fiction (Novella),352,2020
1970,"Carpentier, Alejo",La Ciudad De Las Columnas,,Spanish,,Cuba,,Lumen,Buenos Aires,Argentina,Nonfiction Book,,1970
2002,"Carpentier, Alejo",Ese Músico Que Llevo Dentro 2,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,,590,2002
1987,"Carpentier, Alejo",Ese Músico Que Llevo Dentro 1,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,,630,1987
1998,"Carpentier, Alejo","Crónicas 1. Arte, Literatura, Política",,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Nonfiction Book,426,1998
1987,"Carpentier, Alejo",Obras Completas De Alejo Carpentier: Ese Músico Que Llevo Dentro 3. La Música En Cuba,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,,505,1987
1987,"Carpentier, Alejo",The Kingdom Of This World,,English,,Cuba,,Limited Editions Club,New York,United States,Fiction (Novella),,1987
1991,"Carpentier, Alejo",Conferencias,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Nonfiction Book,388,1991
1990,"Carpentier, Alejo",Letra Y Solfa. Cine,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Nonfiction Book,213,1990
1994,"Carpentier, Alejo",Los Confines Del Hombre,,Spanish,,Cuba,,"Siglo XXI de España Editores, S.A.",Mexico City,Mexico,Nonfiction Book,111,1994
2021,"Carpentier, Alejo",El Reino De Este Mundo,,Spanish,,Cuba,,Editorial Cõ,Lutz,United States,Fiction (Novella),146,2021
1932,"Carr, C. B",The Elephant Slayer -An Amazing Story From Kenya Colony,Planters' Punch,English,,,,Planter's Punch,Kingston,Jamaica,,,1932
1903,"Carrión, Miguel de",El Milagro Y La Esfinge,,Spanish,,Cuba,,Mercaderes,Havana,Cuba,,,
2020,"Carty-Williams, Candice",Queenie,,English,,Britain,,Trapeze,London,England,Fiction (Novel),,2020
2020,"Casimir, Jean",The Haitians: A Decolonial History,,English,,Haiti,,Chapel Hill University of North Carolina Press,Chapel Hill,United States,Nonfiction Book,,2020
2020,"Casimir, Jean",The Haitians: A Decolonial History,,English,,Haiti,,The University of North Carolina Press,Chapel Hill,United States,,,2020
2004,"Cazal, Louison",Une Journée Miklon: Roman,,French,,,,Ibis Rouge,Matoury,French Guiana,Fiction (Novel),,2004
2013,"Cervantes Saavedra, Miguel de",Miguel De Cervantes Saavedra: The Complete Exemplary Novels : Novelas Ejemplares,,English,Spanish,Spain,,Aris & Phillips,Oxford,England,Fiction (Short Story Collection),,2013
1982,"Césaire, Aimé","Moi, Laminaire ... Poèmes",,French,,Martinique,,Éditions du Seuil,Paris,France,Poetry Collection,,1982
1985,"Césaire, Aimé",Collected Poetry,,English,,Martinique,,University of California Press,Oakland,United States,Poetry Collection,,1985
1997,"Césaire, Aimé",Une Tempete,,French,,Martinique,,French & European Pubns,Paris,France,Drama,,1997
1986,"Césaire, Aimé",Premiers Jalons Pour Une Politique De La Culture,,French,,Martinique,,Presence Africaine,Paris,France,Nonfiction Book,,1986
1985,"Césaire, Aimé",Lettre A Maurice Thorez,,French,,Martinique,,Parti Progressite Martiniquais,Fort-de-France,Martinique,Nonfiction Book,,1985
2001,"Césaire, Aimé",Notebook Of A Return To The Native Land,,English,,Martinique,,Wesleyan University Press,Middletown,United States,Poem,66,2001
2002,"Césaire, Aimé",A Tempest: Based On Shakespeare's 'The Tempest;' Adaptation For A Black Theatre,,English,,Martinique,,Theatre Communications Group,New York,United States,Drama,69,2002
2001,"Césaire, Aimé",Discourse On Colonialism,,English,,Martinique,,Monthly Review Press,New York,United States,Nonfiction Book,102,2001
1988,"Césaire, Aimé",A Tempest: Based On Shakespeare's The Tempest ; Adaption For A Black Theatre,,English,,Martinique,,Ubu Repertory Theater,New York,United States,Drama,,1988
1990,"Césaire, Aimé","Lyric And Dramatic Poetry, 1946-82",,English,French,Martinique,,University Press of Virginia,Charlottesville,United States,Poetry Collection,,1990
1987,"Césaire, Aimé","Une Tempête : D'Après ""La Tempête"" De Shakespeare, Adaptation Pour Un Théâtre Nègre",,French,,Martinique,,Éditions du Seuil,Paris,France,Drama,,1987
1985,"Césaire, Aimé",Entretien Sur La Martinique: Avec Yves Lacoste,,French,,Martinique,,La Découverte,Paris,France,,,1985
1989,"Césaire, Aimé",Ferrements: Poèmes,,French,,Martinique,,Éditions du Seuil,Paris,France,Poetry Collection,,1989
1987,"Césaire, Aimé",Cadastre: Poèmes,,French,,Martinique,,Éditions du Seuil,Paris,France,Poetry Collection,,1987
